,mean frequency,label
0,3.5,1
1,5.0,1
2,5.5,1
3,7.5,1
4,3.0,1
5,3.5,1
6,11.5,1
7,3.0,1
8,1.5,1
9,15.5,1
10,0.5,1
11,1.5,1
12,8.5,1
13,1.5,1
14,3.0,1
15,7.0,1
16,2.5,1
17,10.5,1
18,6.5,1
19,6.5,1
20,5.5,1
21,16.0,1
22,5.5,1
23,1.5,1
24,1.5,1
25,9.5,1
26,3.0,1
27,5.0,1
28,1.5,1
29,6.5,1
30,2.0,1
31,7.5,1
32,3.0,1
33,5.5,1
34,1.5,1
35,2.5,1
36,2.0,1
37,5.5,1
38,2.5,1
39,8.5,1
40,9.0,1
41,14.5,1
42,2.0,1
43,7.5,1
44,6.5,1
45,6.5,1
46,8.0,1
47,5.5,1
48,4.5,1
49,1.0,1
50,1.0,1
51,2.5,1
52,7.5,1
53,10.0,1
54,3.5,1
55,3.5,1
56,10.5,1
57,5.5,1
58,3.5,1
59,4.5,1
60,0.5,1
61,7.0,1
62,4.5,1
63,3.5,1
64,3.5,1
65,1.5,1
66,4.5,1
67,11.0,1
68,8.5,1
69,8.5,1
70,4.5,1
71,8.0,1
72,3.0,1
73,2.0,1
74,16.5,1
75,3.0,1
76,10.0,1
77,1.5,1
78,7.0,1
79,9.0,1
80,1.5,1
81,15.5,1
82,1.5,1
83,1.5,1
84,4.0,1
85,6.5,1
86,3.0,1
87,15.5,1
88,4.5,1
89,7.0,1
90,1.5,1
91,3.0,1
92,3.0,1
93,7.5,1
94,13.5,1
95,2.0,1
96,9.0,1
97,4.5,1
98,9.5,1
99,1.5,1
100,1.5,1
101,4.5,1
102,9.5,1
103,8.0,1
104,6.5,1
105,1.0,1
106,6.5,1
107,2.5,1
108,2.0,1
109,1.5,1
110,4.0,1
111,9.5,1
112,10.5,1
113,6.5,1
114,16.0,1
115,6.0,1
116,5.5,1
117,2.0,1
118,7.0,1
119,10.5,1
120,2.5,1
121,0.5,1
122,0.5,1
123,15.5,1
124,15.5,1
125,4.5,1
126,6.5,1
127,7.0,1
128,1.5,1
129,18.5,1
130,7.5,1
131,10.5,1
132,2.5,1
133,3.0,1
134,1.0,1
135,7.5,1
136,4.0,1
137,9.5,1
138,6.5,1
139,10.0,1
140,1.5,1
141,9.0,1
142,6.5,1
143,1.0,1
144,6.0,1
145,4.0,1
146,10.5,1
147,5.0,1
148,9.0,1
149,9.0,1
150,5.5,1
151,4.0,1
152,7.5,1
153,1.5,1
154,5.5,1
155,1.5,1
156,4.0,1
157,2.5,1
158,3.0,1
159,7.5,1
160,6.5,1
161,3.5,1
162,17.5,1
163,6.0,1
164,9.5,1
165,10.0,1
166,6.5,1
167,0.5,1
168,1.0,1
169,0.5,1
170,9.5,1
171,8.5,1
172,4.0,1
173,1.5,1
174,1.5,1
175,1.0,1
176,7.5,1
177,1.0,1
178,6.0,1
179,1.0,1
180,9.0,1
181,7.5,1
182,3.5,1
183,1.5,1
184,0.5,1
185,6.0,1
186,5.5,1
187,1.5,1
188,5.5,1
189,3.5,1
190,4.0,1
191,9.0,1
192,14.0,1
193,10.5,1
194,9.5,1
195,1.5,1
196,7.0,1
197,3.0,1
198,7.0,1
199,17.0,1
200,5.5,1
201,5.0,1
202,4.0,1
203,5.0,1
204,5.5,1
205,6.5,1
206,7.0,1
207,1.5,1
208,8.0,1
209,2.5,1
210,8.0,1
211,3.5,1
212,11.0,1
213,2.0,1
214,1.0,1
215,1.5,1
216,10.5,1
217,9.0,1
218,7.5,1
219,3.5,1
220,5.0,1
221,9.0,1
222,1.5,1
223,10.5,1
224,8.0,1
225,5.5,1
226,1.5,1
227,6.5,1
228,5.0,1
229,3.0,1
230,8.5,1
231,6.5,1
232,10.0,1
233,9.5,1
234,5.0,1
235,3.0,1
236,8.0,1
237,4.0,1
238,9.5,1
239,4.5,1
240,3.0,1
241,6.5,1
242,9.5,1
243,5.5,1
244,6.5,1
245,8.0,1
246,7.5,1
247,4.5,1
248,5.5,1
249,5.5,1
250,2.5,1
251,8.0,1
252,6.5,1
253,8.5,1
254,3.0,1
255,4.0,1
256,5.0,1
257,9.5,1
258,9.5,1
259,5.5,1
260,6.5,1
261,3.5,1
262,3.0,1
263,5.5,1
264,4.5,1
265,7.5,1
266,0.5,1
267,4.0,1
268,6.0,1
269,5.5,1
270,6.5,1
271,6.5,1
272,6.0,1
273,3.5,1
274,6.0,1
275,2.5,1
276,4.5,1
277,2.0,1
278,1.0,1
279,2.5,1
280,4.0,1
281,1.5,1
282,7.5,1
283,7.5,1
284,2.0,1
285,0.5,1
286,7.0,1
287,8.0,1
288,7.5,1
289,8.5,1
290,6.0,1
291,8.0,1
292,6.0,1
293,3.0,1
294,4.0,1
295,9.5,1
296,10.0,1
297,7.5,1
298,4.5,1
299,16.5,1
300,3.5,1
301,1.0,1
302,6.5,1
303,1.5,1
304,8.5,1
305,10.5,1
306,10.5,1
307,3.5,1
308,8.5,1
309,4.5,1
310,17.0,1
311,7.0,1
312,6.0,1
313,10.5,1
314,1.5,1
315,5.5,1
316,2.5,1
317,9.0,1
318,3.5,1
319,10.5,1
320,7.0,1
321,5.5,1
322,3.0,1
323,7.5,1
324,9.5,1
325,3.5,1
326,7.0,1
327,5.0,1
328,7.0,1
329,1.5,1
330,5.0,1
331,6.5,1
332,2.0,1
333,3.0,1
334,8.0,1
335,4.5,1
336,5.5,1
337,9.0,1
338,6.5,1
339,5.0,1
340,1.5,1
341,2.5,1
342,1.5,1
343,9.0,1
344,7.5,1
345,11.5,1
346,5.5,1
347,7.5,1
348,9.0,1
349,6.5,1
350,2.5,1
351,4.0,1
352,5.0,1
353,3.5,1
354,2.0,1
355,9.5,1
356,0.5,1
357,6.5,1
358,3.5,1
359,3.0,1
360,5.5,1
361,9.0,1
362,18.0,1
363,11.0,1
364,7.5,1
365,3.0,1
366,7.0,1
367,0.5,1
368,7.5,1
369,4.5,1
370,9.5,1
371,1.5,1
372,11.0,1
373,7.5,1
374,10.5,1
375,7.5,1
376,4.5,1
377,7.5,1
378,1.5,1
379,4.5,1
380,6.5,1
381,4.5,1
382,7.0,1
383,5.0,1
384,7.5,1
385,6.5,1
386,6.5,1
387,4.5,1
388,9.0,1
389,9.0,1
390,3.5,1
391,3.5,1
392,0.5,1
393,9.5,1
394,4.5,1
395,6.5,1
396,1.5,1
397,4.5,1
398,2.5,1
399,1.0,1
400,10.0,1
401,3.5,1
402,1.0,1
403,9.0,1
404,1.5,1
405,7.5,1
406,8.5,1
407,6.5,1
408,5.5,1
409,10.5,1
410,3.0,1
411,7.5,1
412,6.5,1
413,2.0,1
414,3.0,1
415,6.5,1
416,5.0,1
417,6.5,1
418,1.5,1
419,19.0,1
420,2.0,1
421,4.5,1
422,2.5,1
423,8.5,1
424,3.0,1
425,4.0,1
426,2.5,1
427,2.5,1
428,10.0,1
429,8.5,1
430,2.0,1
431,6.5,1
432,1.5,1
433,10.5,1
434,1.0,1
435,3.5,1
436,9.5,1
437,3.5,1
438,6.0,1
439,3.5,1
440,10.0,1
441,3.5,1
442,10.0,1
443,0.5,1
444,2.0,1
445,3.0,1
446,4.5,1
447,2.5,1
448,8.0,1
449,10.5,1
450,5.5,1
451,9.0,1
452,10.5,1
453,12.5,1
454,1.5,1
455,10.5,1
456,5.0,1
457,3.0,1
458,2.5,1
459,10.0,1
460,6.0,1
461,6.5,1
462,3.5,1
463,9.0,1
464,5.5,1
465,3.5,1
466,2.5,1
467,5.5,1
468,3.0,1
469,5.5,1
470,9.5,1
471,4.5,1
472,5.5,1
473,1.5,1
474,2.5,1
475,5.5,1
476,5.5,1
477,2.5,1
478,9.0,1
479,7.0,1
480,16.5,1
481,3.0,1
482,5.5,1
483,6.5,1
484,7.5,1
485,4.0,1
486,10.0,1
487,1.5,1
488,6.0,1
489,2.5,1
490,3.0,1
491,10.0,1
492,8.0,1
493,1.5,1
494,7.0,1
495,3.0,1
496,9.5,1
497,8.5,1
498,8.0,1
499,2.5,1
500,1.5,1
501,1.5,1
502,8.0,1
503,5.5,1
504,14.0,1
505,5.0,1
506,5.5,1
507,5.5,1
508,5.0,1
509,1.5,1
510,6.5,1
511,8.0,1
512,3.0,1
513,6.0,1
514,3.5,1
515,11.0,1
516,1.0,1
517,8.0,1
518,10.5,1
519,10.0,1
520,3.0,1
521,16.0,1
522,7.0,1
523,9.5,1
524,5.0,1
525,1.0,1
526,4.5,1
527,8.5,1
528,6.5,1
529,9.0,1
530,5.5,1
531,10.5,1
532,7.5,1
533,8.0,1
534,10.5,1
535,11.0,1
536,0.5,1
537,1.5,1
538,6.0,1
539,7.5,1
540,8.0,1
541,4.5,1
542,5.5,1
543,7.5,1
544,2.5,1
545,5.5,1
