,label
4313,0
4340,0
10982,0
7986,0
6263,0
3775,0
10090,0
1861,1
2661,0
4418,0
7031,0
4802,0
11480,0
6544,0
930,1
4732,0
2252,1
477,1
2872,0
9899,0
9350,0
6756,0
10395,0
5700,0
154,1
6909,0
6972,0
4311,0
5225,0
3180,0
2379,0
11026,0
3046,0
3359,0
8420,0
10540,0
11456,0
6604,0
188,1
5316,0
8722,0
2627,0
3071,0
10655,0
2701,0
6904,0
4429,0
2759,0
6043,0
7237,0
10906,0
1145,1
9388,0
1921,1
3941,0
9324,0
3766,0
10487,0
7619,0
11285,0
2206,1
9167,0
3701,0
11082,0
3501,0
1645,1
4692,0
2009,1
10094,0
4390,0
8344,0
1286,1
7100,0
1845,1
4111,0
6658,0
5396,0
8940,0
9437,0
7327,0
6223,0
9951,0
7763,0
8572,0
486,1
2841,0
7488,0
5025,0
10753,0
3953,0
5206,0
42,1
5611,0
308,1
1829,1
10049,0
10078,0
4139,0
9672,0
620,1
5404,0
5916,0
4818,0
1603,1
9348,0
1103,1
4612,0
10916,0
11187,0
2363,0
10188,0
1172,1
9773,0
7950,0
9569,0
7795,0
5090,0
6018,0
2270,1
10216,0
467,1
3018,0
7368,0
5078,0
2521,0
10701,0
3873,0
10236,0
5126,0
1899,1
3353,0
1060,1
10739,0
8359,0
5577,0
5585,0
3523,0
6571,0
5886,0
9076,0
3921,0
10718,0
6459,0
1915,1
2179,1
9269,0
10621,0
812,1
2062,1
10403,0
7118,0
4029,0
4512,0
9578,0
6966,0
6840,0
9805,0
6994,0
7104,0
8223,0
4091,0
5962,0
6105,0
8642,0
9152,0
9570,0
9494,0
8991,0
3782,0
8720,0
6842,0
2369,0
10808,0
2617,0
2778,0
2946,0
1534,1
6726,0
1516,1
11466,0
10553,0
865,1
8921,0
11211,0
10314,0
7867,0
7328,0
9068,0
2740,0
2585,0
8278,0
9045,0
8119,0
7821,0
6529,0
10027,0
1217,1
8713,0
5970,0
8101,0
10425,0
8672,0
10173,0
4915,0
1328,1
554,1
8967,0
3008,0
4911,0
3759,0
3448,0
11367,0
6755,0
3344,0
10542,0
11242,0
7218,0
8245,0
3125,0
10614,0
9643,0
1136,1
8024,0
6230,0
6783,0
1468,1
7027,0
5976,0
7023,0
7586,0
2869,0
5189,0
9532,0
6881,0
5609,0
3931,0
3964,0
4017,0
4128,0
3019,0
8212,0
3630,0
7344,0
10578,0
1550,1
7890,0
1297,1
11064,0
3234,0
5056,0
2975,0
1238,1
2892,0
7010,0
10684,0
2359,0
10872,0
7535,0
3998,0
5229,0
6575,0
9780,0
4624,0
3635,0
9618,0
5094,0
2021,1
634,1
125,1
7832,0
10262,0
8103,0
5433,0
378,1
11073,0
9457,0
256,1
5897,0
2224,1
3263,0
5325,0
7868,0
8817,0
2846,0
8469,0
6649,0
5818,0
4188,0
1854,1
9548,0
7145,0
4145,0
5972,0
5083,0
10598,0
3079,0
2818,0
11040,0
7236,0
8492,0
4581,0
2958,0
5578,0
9878,0
11043,0
1418,1
3420,0
8453,0
4861,0
2724,0
828,1
16,1
9419,0
9840,0
8894,0
2227,1
10282,0
8936,0
10415,0
5687,0
6792,0
2860,0
4678,0
9158,0
2503,0
5934,0
2894,0
8023,0
4668,0
9142,0
7052,0
4778,0
90,1
8339,0
9692,0
5807,0
974,1
2606,0
9699,0
7685,0
2397,0
1043,1
3200,0
6153,0
2457,0
3472,0
8895,0
11189,0
2520,0
2754,0
8536,0
1785,1
5905,0
8664,0
11300,0
2424,0
10677,0
1495,1
8074,0
4579,0
2456,0
8383,0
1533,1
4256,0
4892,0
11277,0
5004,0
9403,0
982,1
3645,0
3367,0
10411,0
8640,0
11491,0
10390,0
9456,0
7969,0
2509,0
10077,0
7727,0
1399,1
7240,0
4474,0
841,1
1201,1
1156,1
144,1
8432,0
3595,0
9432,0
9275,0
5482,0
8289,0
6155,0
1242,1
2524,0
6751,0
7919,0
10736,0
3192,0
7700,0
2648,0
9539,0
8003,0
624,1
6466,0
9113,0
6106,0
579,1
1615,1
7630,0
9721,0
4115,0
7177,0
8683,0
9811,0
6059,0
7475,0
449,1
10516,0
6303,0
10810,0
6745,0
3378,0
11448,0
221,1
6748,0
11325,0
4697,0
8290,0
159,1
6999,0
8436,0
2707,0
4853,0
3771,0
10785,0
3664,0
8186,0
7041,0
5579,0
6542,0
5107,0
663,1
6042,0
4269,0
487,1
8083,0
4089,0
11343,0
7497,0
9554,0
11452,0
5992,0
11195,0
11258,0
1651,1
2954,0
10936,0
654,1
4141,0
