,label
4075,0
10104,0
5501,0
7779,0
3402,0
9503,0
6865,0
821,1
6883,0
3166,0
3761,0
4995,0
5112,0
4121,0
7440,0
5201,0
1710,1
1986,1
6415,0
6080,0
4497,0
6873,0
7188,0
1037,1
7694,0
8879,0
6524,0
6787,0
2678,0
10370,0
7799,0
4330,0
6313,0
5744,0
6389,0
2448,0
11016,0
5639,0
1774,1
6156,0
6058,0
6317,0
5938,0
2571,0
4779,0
4391,0
1086,1
2404,0
2097,1
10502,0
791,1
496,1
9949,0
1957,1
229,1
1462,1
5889,0
5,1
6746,0
3056,0
10219,0
1003,1
10633,0
10397,0
4104,0
11303,0
4107,0
3648,0
3959,0
7504,0
8636,0
3655,0
1362,1
8910,0
8542,0
8073,0
3460,0
6380,0
10352,0
9127,0
10414,0
440,1
9798,0
10286,0
5842,0
944,1
2549,0
472,1
5567,0
3828,0
2783,0
10896,0
10358,0
6610,0
4821,0
10965,0
10668,0
5564,0
8357,0
2530,0
9173,0
633,1
6988,0
9203,0
1755,1
756,1
2218,1
5053,0
2952,0
1661,1
8943,0
7015,0
743,1
7079,0
1815,1
7057,0
10209,0
3050,0
3671,0
1044,1
9854,0
6543,0
10980,0
8297,0
6479,0
1888,1
8180,0
1063,1
9787,0
8353,0
3000,0
5762,0
6136,0
1112,1
2443,0
2480,0
6289,0
2515,0
4194,0
6897,0
10169,0
9400,0
11440,0
6890,0
11249,0
8880,0
2991,0
2501,0
979,1
420,1
156,1
3743,0
4209,0
10687,0
1127,1
10508,0
10887,0
9135,0
9283,0
6434,0
4001,0
2237,1
8422,0
6556,0
407,1
4749,0
8270,0
3315,0
321,1
6083,0
1910,1
1314,1
10452,0
7642,0
1538,1
6691,0
4676,0
6476,0
7067,0
6147,0
6196,0
9465,0
5840,0
5963,0
2551,0
1914,1
10855,0
9044,0
2278,1
5168,0
2137,1
11407,0
1547,1
2770,0
10913,0
10874,0
10774,0
10296,0
5313,0
8166,0
4583,0
3160,0
9104,0
1159,1
11295,0
8584,0
10339,0
4871,0
3474,0
4615,0
7044,0
3066,0
10082,0
