,ApEn,peek,RMS,mean frequency
4313,0.0199125195853171,9,35.950534321046604,2.0
4340,0.016135280833641,15,45.32756753793711,5.0
10982,0.0108055404843669,11,30.426388821527112,1.5
7986,0.013974372158279,9,30.37188930831024,3.5
6263,0.0144376010591686,19,48.926847699205496,10.5
3775,0.0197395714053136,13,31.010094752555982,2.0
10090,0.016993350031929,14,51.00068933357666,1.0
1861,0.0597520514729446,17,619.9202270378222,10.0
2661,0.0293601537176986,15,115.41855091158982,11.5
4418,0.0158385866965362,17,54.86493536688528,9.0
7031,0.0369123698915525,11,77.12398702738338,2.0
4802,0.0170761073704954,8,75.14452871175985,0.5
11480,0.020792504314437,13,74.71014954684873,0.5
6544,0.0190284286958224,15,56.49919627470376,2.0
930,0.0432046346630539,6,126.32642720720594,1.5
4732,0.0232983082275679,9,19.828512850816622,1.5
2252,0.0367991665223659,13,321.6120451991615,9.0
477,0.0334720358347175,11,481.05397032275,2.5
2872,0.0022073267799704,17,40.68367157487756,7.0
9899,0.0242489071204001,9,24.42667799059565,5.5
9350,0.0190816533686275,12,54.57654816287853,1.5
6756,0.0452996418147102,9,139.37441143373485,1.5
10395,0.0211872676057964,14,50.56020641429631,1.0
5700,0.030225761609004,11,49.61240886392486,1.0
154,0.0343650331935641,12,386.03409912026393,5.5
6909,0.0212458237016957,11,28.431017461678188,7.0
6972,0.0231428282034333,7,36.63766312655599,1.0
4311,0.0025365330152142,3,199.1810528059208,0.5
5225,0.0236208450745363,11,24.362887615567043,3.0
3180,0.0455705923271003,11,54.06816263696687,1.5
2379,0.0087042851448968,13,100.23838773144747,1.0
11026,0.0127559447341552,14,59.82431146438294,1.0
3046,0.0129869413700753,10,30.506907196875105,1.0
3359,0.0217764386666496,7,60.410752224873015,1.5
8420,0.003152000953901,11,27.89834889547677,2.5
10540,0.0090737099516182,7,78.60777086665796,0.5
11456,0.0218517455564848,11,41.12856771188671,3.0
6604,0.0066745199249238,8,77.74942536463693,0.5
188,0.0367348012329449,7,490.2990532533117,5.5
5316,0.027350568656403,15,63.7997622877135,6.5
