,ApEn,peek,RMS,mean frequency
4075,0.0215084740143338,9,28.04788908333834,4.0
10104,0.0136117297515103,9,35.11863265241117,0.5
5501,0.0443301842322803,3,262.12620614738,1.5
7779,0.0051030452661828,13,47.03933173918131,3.0
3402,0.0197746640945988,9,41.78413649341099,1.0
9503,0.0229873574307766,9,20.459134191724733,3.0
6865,0.025054652976312,11,46.95792144802355,1.5
821,0.0512749661765812,11,124.47566395873834,0.5
6883,0.0070397860580984,15,51.24410694015215,1.5
3166,0.0053981874292263,12,42.77458973904659,1.0
3761,0.0118591997134647,19,72.74903349873453,6.5
4995,0.0025560609546788,13,39.9628611768164,0.5
5112,0.0355184676914097,12,65.15768133919438,0.5
4121,0.0199226845892872,13,118.64257064946166,0.5
7440,0.0287553138064033,13,39.04525869503876,2.0
5201,0.0435215545319587,4,34.94277548498044,2.0
1710,0.0357968504428116,15,112.96943723857352,5.5
1986,0.0295688699032625,13,225.5762207052336,9.0
6415,0.0337771485001203,7,70.62868145825215,1.0
6080,0.0121783430240896,11,36.392318954777394,6.0
4497,0.0268136103038005,9,40.72434967252393,1.0
6873,0.0192418653052475,17,81.56633731394649,5.5
7188,0.010852011695019,20,35.90496489214618,24.5
1037,0.0090325587419828,15,372.58526184452063,6.5
7694,0.0111687246624825,15,43.21435489221145,5.0
8879,0.0058939451983359,17,55.303684855475495,1.5
6524,0.0438663889163031,17,110.61618741381729,10.5
6787,0.0098881954273228,9,57.878408376958674,4.0
2678,0.0047044919236549,17,33.23102136934705,8.0
10370,0.0148637103927944,13,78.68491854383532,2.5
7799,0.0123511285658413,11,96.2578223282399,0.5
4330,0.0137085244207919,10,46.63813592604501,1.0
6313,0.0204908989791885,9,30.3303104892614,1.5
5744,0.0117046006637693,15,27.87937010306636,1.5
6389,0.0073119469804812,14,46.00494623543212,5.0
2448,0.0127061255663276,15,80.37915218182356,6.5
11016,0.014717594288153,9,55.90972599590791,5.0
5639,0.005836732467217,3,135.87821623953377,1.5
1774,0.0459925908529323,11,105.29596958543809,4.0
6156,0.0336960204644274,13,67.0313556234599,5.0
6058,0.0307557082588045,10,29.424725200501022,6.5
6317,0.0134358762347597,7,39.06060620409328,1.5
5938,0.0192304616496783,11,32.2373021877413,1.5
2571,0.0324419444797245,5,83.480603917729,2.0
4779,0.0293633533677368,5,70.31129860084722,0.5
4391,0.0087171362651887,5,22.20151406013788,0.5
1086,0.0414123088480371,13,501.9229224862992,7.0
2404,0.0332347524091485,7,45.50909400019682,1.5
2097,0.0048054118811045,15,309.4879118449136,10.5
10502,0.026765929332289,18,16.763404151603577,0.5
791,0.0322900188061279,15,212.32989860084177,10.5
496,0.0498686302459141,12,611.7693633275942,9.5
9949,0.0013886142117538,13,53.87765999088816,0.5
1957,0.0578071021768771,17,557.5989555360051,17.5
229,0.000869202547379,13,108.07893934021672,3.0
1462,0.025519866820268,13,259.0902361886323,9.5
5889,0.0112966627414339,12,81.35652872157833,0.5
5,0.0149192284967103,11,138.6961008768361,3.5
6746,0.0022073267799793,13,29.32208498672545,6.0
3056,0.0510317537955136,7,62.64497248881988,1.5
10219,0.0063929871185282,15,33.539214454873566,12.0
1003,0.0255690706312763,14,416.76182695894335,6.5
10633,0.0322693189356497,8,38.567260646175015,0.5
10397,0.0087306116016776,19,70.17219682346598,8.0
4104,0.0093247468974277,15,54.54756203019068,0.5
11303,0.0052200228947869,17,66.70303166718699,0.5
4107,0.0331683330996623,13,45.76998048154762,11.5
3648,0.0109538139302864,16,55.31464949919461,5.5
3959,0.0279380608338821,12,84.99110419902044,11.5
7504,0.0156016306844621,19,88.28817450719264,3.0
8636,0.013446637495095,7,30.971051882160864,5.5
3655,0.0098702164247956,17,48.01265803963836,8.0
1362,0.0145986993092481,9,335.6413178353959,7.5
8910,0.0122577530559784,11,84.93577824321886,1.5
8542,0.0115301276743506,21,21.375411180255693,7.5
8073,0.031682580096271,11,37.908748887130265,1.0
3460,0.0312638829950531,7,89.4517044101173,1.0
6380,0.0197438562819631,13,98.35662103968268,5.5
10352,0.0360825772554527,7,68.83728124397781,0.5
9127,0.0361072139542231,7,95.50184062362358,1.0
10414,0.0107924893624371,15,44.170020632282366,4.0
440,0.0527579148008099,11,476.7082179883794,10.0
9798,0.0272041142368637,8,67.66509035776868,1.5
10286,0.0277185278091216,5,184.28977108500217,0.5
5842,0.0049972001776534,19,82.85944424143817,0.5
944,0.0333209527545141,14,263.807327707825,6.5
2549,0.0185962055659061,10,76.24143138330366,10.5
472,0.0173910999478787,13,230.5885281967373,5.5
5567,0.0340490699721183,12,47.72709385958096,2.5
3828,0.009038651942018,18,38.24729999661741,6.5
2783,0.0225074178888053,15,30.31938549375218,11.5
10896,0.0048190725827668,16,28.46891293861165,1.5
10358,0.0325372787789266,6,56.506269529086325,4.0
