,mean frequency,RMS
4075,4.0,28.04788908333834
10104,0.5,35.11863265241117
5501,1.5,262.12620614738
7779,3.0,47.03933173918131
3402,1.0,41.78413649341099
9503,3.0,20.459134191724733
6865,1.5,46.95792144802355
821,0.5,124.47566395873834
6883,1.5,51.24410694015215
3166,1.0,42.77458973904659
3761,6.5,72.74903349873453
4995,0.5,39.9628611768164
5112,0.5,65.15768133919438
4121,0.5,118.64257064946166
7440,2.0,39.04525869503876
5201,2.0,34.94277548498044
1710,5.5,112.96943723857352
1986,9.0,225.5762207052336
6415,1.0,70.62868145825215
6080,6.0,36.392318954777394
4497,1.0,40.72434967252393
6873,5.5,81.56633731394649
7188,24.5,35.90496489214618
1037,6.5,372.58526184452063
7694,5.0,43.21435489221145
8879,1.5,55.303684855475495
6524,10.5,110.61618741381729
6787,4.0,57.878408376958674
2678,8.0,33.23102136934705
10370,2.5,78.68491854383532
7799,0.5,96.2578223282399
4330,1.0,46.63813592604501
6313,1.5,30.3303104892614
5744,1.5,27.87937010306636
6389,5.0,46.00494623543212
2448,6.5,80.37915218182356
11016,5.0,55.90972599590791
5639,1.5,135.87821623953377
1774,4.0,105.29596958543809
6156,5.0,67.0313556234599
6058,6.5,29.424725200501022
6317,1.5,39.06060620409328
5938,1.5,32.2373021877413
2571,2.0,83.480603917729
4779,0.5,70.31129860084722
4391,0.5,22.20151406013788
1086,7.0,501.9229224862992
2404,1.5,45.50909400019682
2097,10.5,309.4879118449136
10502,0.5,16.763404151603577
791,10.5,212.32989860084177
496,9.5,611.7693633275942
9949,0.5,53.87765999088816
1957,17.5,557.5989555360051
229,3.0,108.07893934021672
1462,9.5,259.0902361886323
5889,0.5,81.35652872157833
5,3.5,138.6961008768361
6746,6.0,29.32208498672545
3056,1.5,62.64497248881988
10219,12.0,33.539214454873566
1003,6.5,416.76182695894335
10633,0.5,38.567260646175015
10397,8.0,70.17219682346598
4104,0.5,54.54756203019068
11303,0.5,66.70303166718699
4107,11.5,45.76998048154762
3648,5.5,55.31464949919461
3959,11.5,84.99110419902044
7504,3.0,88.28817450719264
8636,5.5,30.971051882160864
3655,8.0,48.01265803963836
1362,7.5,335.6413178353959
8910,1.5,84.93577824321886
8542,7.5,21.375411180255693
8073,1.0,37.908748887130265
3460,1.0,89.4517044101173
6380,5.5,98.35662103968268
10352,0.5,68.83728124397781
9127,1.0,95.50184062362358
10414,4.0,44.170020632282366
440,10.0,476.7082179883794
9798,1.5,67.66509035776868
10286,0.5,184.28977108500217
5842,0.5,82.85944424143817
944,6.5,263.807327707825
2549,10.5,76.24143138330366
472,5.5,230.5885281967373
5567,2.5,47.72709385958096
3828,6.5,38.24729999661741
2783,11.5,30.31938549375218
10896,1.5,28.46891293861165
10358,4.0,56.506269529086325
6610,2.5,46.50070878996093
4821,0.5,50.758422753950406
10965,6.0,39.2827913380974
10668,5.5,43.94976713533304
5564,11.5,96.39723418134204
8357,9.5,76.51431838531106
2530,2.0,79.56075091361004
9173,12.5,69.18664252517425
633,8.0,248.96374983211663
6988,11.5,40.23833414986572
9203,2.0,25.90528873367367
1755,7.0,105.0496650585153
756,9.0,220.97633697730228
2218,0.5,203.79325532992684
5053,4.0,44.39969603288405
2952,0.5,27.787629329433628
1661,9.0,212.2169576385804
8943,3.5,50.83360282117774
7015,2.0,27.37160188669545
743,3.0,118.93130074490485
7079,10.5,80.30513098488788
1815,9.0,229.2035484052603
7057,1.5,70.60655870960218
10209,1.5,36.52961261300549
3050,1.0,39.72096276291022
3671,7.0,50.090245705563774
1044,3.0,162.64363994107254
9854,2.0,62.22510640559403
6543,0.5,41.6771386580071
10980,1.5,58.34163259414326
8297,0.5,47.43040234286707
6479,1.5,83.99717199015542
1888,8.5,408.3511720168072
8180,2.0,44.39425748513258
1063,8.5,163.94741946019232
9787,1.5,61.64040518021641
8353,7.0,48.77001792533503
3000,1.5,53.95089636651091
5762,6.0,39.42797156088872
6136,6.0,46.57564306956749
1112,1.5,213.76223352236184
2443,0.5,45.798732796675175
2480,1.0,62.16743159228351
6289,2.0,55.44594161348736
2515,1.0,58.65231240113215
4194,2.5,138.61448900638058
6897,1.0,51.89432057376317
10169,2.0,63.85639864913696
9400,1.5,55.44622341878886
11440,0.5,57.47890237948181
6890,4.0,42.76506267898482
11249,1.0,68.20298002561911
8880,0.5,40.0136878435836
2991,2.5,51.17803636571063
2501,0.5,82.72969326933045
979,4.5,421.6630202385772
420,2.0,272.1565397503912
156,4.0,131.08707149257702
3743,0.5,67.11010440523282
4209,10.5,55.39492887017051
10687,4.0,49.88181833876197
1127,5.5,169.86760412064302
10508,5.0,42.22422013045357
10887,11.5,42.82891450841067
9135,0.5,81.66899178237723
9283,10.5,46.46945401282438
6434,3.0,46.17354322282405
4001,3.0,53.236537324003336
2237,2.0,158.24002116049846
8422,4.5,68.18912549620724
6556,2.0,64.41226166751949
407,6.5,274.9149966282192
4749,1.0,57.75511087368156
8270,0.5,53.2862488490816
3315,11.0,54.199185951566655
321,5.5,344.7679678568707
6083,1.5,40.54384321516955
1910,1.0,225.02302833543504
1314,6.0,509.2328415509574
10452,2.0,13.602421802982365
7642,4.0,60.07166130703811
1538,1.5,300.9548890030593
6691,0.5,52.83362650664584
4676,0.5,67.29541116065234
6476,5.5,42.0066552111835
7067,4.0,68.6758122449236
6147,0.5,40.77626286556003
6196,6.5,111.49896650305776
9465,0.5,51.67496730617011
5840,6.5,51.963502253083846
5963,1.5,75.9085818137103
2551,2.5,45.789387075500365
1914,4.5,490.8198329310232
10855,2.0,49.38544687740762
9044,4.5,29.43830446087631
2278,1.5,235.4008777430269
5168,6.0,45.79285795671362
2137,6.0,206.702618890642
11407,2.0,60.20691859641216
1547,1.0,234.49978969540143
2770,3.0,36.885770408027945
10913,2.0,66.40162483892996
10874,6.5,71.10582658417488
10774,6.0,73.67688377724048
10296,1.0,31.65218538811736
5313,0.5,55.10292659679021
8166,0.5,39.02927336868444
4583,0.5,33.130851487888144
3160,0.5,50.96465917059585
9104,0.5,65.81893590919523
1159,9.0,120.25592419788516
11295,2.5,43.60647215795495
8584,15.0,64.60758953095217
10339,1.0,71.68638294683308
4871,8.5,59.36818628666998
3474,5.5,70.29484500569725
4615,5.0,25.096581020255528
7044,9.0,38.92829445756647
3066,9.5,91.39140103748136
10082,1.5,40.33792197447397
9217,1.5,39.8392093000884
1675,6.5,207.56716486402053
7613,0.5,32.57223792731703
1833,9.0,95.71867858306184
6693,2.0,61.64147852704379
3152,3.5,51.17277909506674
11203,2.5,64.98787822668355
4563,1.5,31.528013337348103
283,7.5,163.59320827274203
1013,1.0,145.27471955101134
5755,0.5,45.24592631006962
1388,4.5,208.28819615199032
274,6.0,101.2814886413418
5030,0.5,43.95243900548922
9078,1.5,40.17859908233175
4900,0.5,44.678233304932725
484,7.5,175.73525509359953
3524,3.5,27.742802416798128
8810,3.0,25.43733683915732
3247,5.5,64.43107009020376
7042,2.0,82.20842176672048
162,17.5,511.6735371247472
8437,1.5,34.49563349858573
4447,6.0,92.48639838764808
8079,2.0,46.783661010015024
767,10.5,97.7661556542255
1796,16.5,266.96484143515977
5844,1.5,59.98149535612004
7178,7.0,92.51347294195182
7808,3.0,57.52672612577566
8269,9.5,47.67658889755275
5879,0.5,74.70112977099141
1034,1.0,198.2867266777141
6611,3.0,78.5449898445948
473,1.5,193.24435278375532
6207,1.0,47.42626884504515
2664,0.5,40.85869681559545
10017,8.0,41.077717880257175
8597,2.5,90.2597921453678
11396,1.5,31.51129819703561
1457,3.0,152.83181274944445
2265,11.5,575.6082033040682
1525,8.0,254.5812124843465
1837,7.5,260.28896764881813
8774,4.0,42.91695173347881
4437,2.5,48.84678893297389
9685,1.5,60.10996596083299
3086,1.0,32.47878664653669
2126,6.5,462.6954295720621
4965,4.0,61.32821456999829
11337,1.5,32.30800409970028
6258,11.5,103.19430672961688
3232,10.0,90.5725791277015
1364,0.5,131.52053220172508
8000,1.5,34.0186142175317
1691,6.5,199.75025911278564
1336,9.0,184.38611857365035
8234,5.0,53.76574987271172
3650,1.0,51.5927562745004
9301,3.0,39.01039650088487
5865,0.5,29.632918575146288
4008,0.5,28.74629731591532
5786,4.0,52.304182806564334
10350,8.5,45.49314208276342
2423,2.5,72.4005143120976
9375,1.5,45.12874378514208
8487,3.5,46.37210444127482
8099,2.0,50.90198148156907
2161,6.5,139.84317213567758
2909,0.5,43.18104374679357
11333,6.5,42.77735783974976
7066,7.5,44.38303184354354
11216,0.5,58.77437160712567
3716,5.0,68.20223904063744
7029,5.0,62.98345051727874
6621,1.0,75.10063560816246
2178,6.5,262.26780653322663
182,3.5,307.3278600683946
5943,1.0,138.1967874112175
4631,1.0,94.05566576086072
3928,8.5,57.92866707209825
3993,0.5,62.24818803838792
20,5.5,161.98753629234102
9739,0.5,101.79989323038974
10299,0.5,67.63135728551697
7512,2.5,33.594593012678395
4235,1.0,55.943989672428174
11454,4.5,45.37345038676252
6496,3.0,59.07191145253597
2735,6.5,45.51445297581308
5575,0.5,78.71461258479901
11395,0.5,37.91549763536673
8309,3.5,57.30228831463671
9921,2.0,23.78461704153548
10139,2.5,159.6776308716448
8375,2.0,45.13288755511329
2104,8.0,247.1735655048392
5283,4.0,42.84470162145198
5296,0.5,37.41544503736058
7536,7.5,88.60026706629473
3705,7.5,88.21404798397333
2856,2.0,74.4011803974322
621,4.0,158.9619094999648
2915,1.0,63.18505419969781
10087,13.5,45.50649206775336
6158,0.5,30.10234009020312
9816,1.5,22.20945216850249
5031,11.5,102.91627076931276
8485,1.5,33.54101238362894
8749,4.5,57.52465079614782
4578,3.5,40.398672433323846
4507,1.5,65.04395298805647
6419,1.0,35.233921144527045
4585,10.0,64.01067263306565
9493,3.5,48.77486845670371
6616,1.5,190.4545728932165
10660,5.5,26.90804654280946
11194,5.0,60.85191104743548
5939,1.5,51.3178000460123
9602,0.5,63.12471379885615
5560,1.5,133.7780435699605
4411,4.0,38.87525748507976
5344,1.5,53.1438799172233
11103,1.0,70.71890880450574
6304,8.5,52.3693127878818
9038,5.0,52.07217797202264
10815,2.0,40.26328754856898
11047,1.5,71.85713093093128
7675,1.5,61.58894974318648
8098,0.5,67.37409771543327
8793,0.5,90.32071221313248
7091,1.0,44.27890673934091
8439,5.5,93.8023265428089
8325,1.0,32.29768005165
10519,2.0,28.898039374454108
9005,5.0,84.8701702648301
2034,4.5,562.0671211968094
2577,7.5,96.28152639119692
4837,5.0,63.97023844140336
6316,1.5,46.324807532991976
3747,1.0,22.3441324267972
6590,2.5,41.74167792244641
10723,2.0,64.78902434657626
10031,2.0,41.75598759459534
9206,10.5,28.691635731298067
808,8.5,303.2695845579783
8165,0.5,23.58539794223854
844,1.5,170.7756231918435
1303,6.5,500.9616743036275
733,9.5,436.47881266591855
8257,1.5,62.53932747055048
9980,6.5,36.9754920416044
5140,11.5,76.35823516900453
11476,0.5,39.36523316368455
1150,2.0,114.28193789101144
5518,11.0,62.78608741940765
8660,5.0,77.87826976983855
7705,2.5,29.010411991322183
8320,2.0,49.23830464720785
5911,12.0,100.49303992923466
7944,0.5,32.44596620007255
543,7.5,313.8073357098468
9950,2.5,47.82919949381078
1646,12.0,198.6874913986315
4628,2.0,38.63211023755045
8346,3.5,38.04143634126149
464,5.5,430.1080742864592
11184,1.0,37.06121546045475
7411,2.5,42.11263032407855
9256,0.5,61.2912727652763
1066,3.5,505.2185315766213
10117,4.0,30.51243662938933
6984,6.0,58.64798739753351
1502,4.5,355.574920957683
10530,0.5,37.63177368428175
7746,0.5,47.9674063329726
7999,2.5,71.75823055471581
8312,0.5,150.99530466623787
4975,6.5,44.02236092849576
7457,0.5,71.15383450006401
685,1.0,171.30370679275302
11031,3.5,37.88848254252208
6123,5.0,76.54314168534304
3923,2.0,51.28540602446032
5211,7.0,60.75066309437494
971,5.5,138.32260327988698
7245,2.5,71.3052485905666
10144,0.5,65.18330897960958
3735,0.5,74.16636638223386
4025,1.0,57.98217078470114
525,1.0,497.9336996411081
9965,2.5,51.272427447959295
5961,2.5,39.38240877719074
7348,1.0,36.7979332384986
9979,2.5,58.35709291053445
4799,4.0,30.21562322241178
1259,5.5,297.2926839688563
9202,0.5,70.47021547810996
4476,7.0,25.84978579758931
7646,0.5,71.79552331426208
7568,3.0,45.43552265298596
6220,2.5,43.60170738306873
4299,3.5,126.14415813985404
4725,1.0,50.63233453813136
10629,1.0,43.197634709914965
7483,1.5,162.16186424324232
311,7.0,265.25508801670514
4548,0.5,47.840218680912194
11423,11.5,44.05056908507255
10685,0.5,24.74942786586187
5439,0.5,93.23645019267543
9177,2.0,80.11034869946579
842,9.0,276.9690285454991
10526,8.5,97.32365613235432
1939,6.5,278.5976365054202
3803,1.0,63.21316167218461
8611,0.5,37.71510571665881
2284,10.5,564.7074779428118
3826,1.0,25.980188891610275
4827,10.5,34.2456729132492
3954,1.5,133.72890276074858
3277,8.0,44.88322522112242
9241,2.0,69.45542916594066
1589,5.0,369.7550630358224
6134,1.5,34.940022549810266
3629,1.5,141.1775740756123
326,7.0,434.9524719231186
7829,6.0,79.00408847707662
463,9.0,380.47899883526753
1722,1.5,136.21302537294295
5722,5.5,150.1451234821456
8305,1.0,30.372821745456086
6981,1.5,31.40986453080863
6104,5.5,57.29155066276135
10746,1.5,65.83150544667045
9628,0.5,38.04546006095865
7249,1.0,85.67146606459032
5967,1.0,61.71524910956976
4064,6.0,62.88438051296999
2436,15.5,49.54503455664099
4463,3.5,32.730776204323355
8110,2.5,77.09364232866417
3444,2.5,64.49323941071266
10907,0.5,30.967638413451063
4171,0.5,74.69035690142671
1141,6.0,538.8246807831781
845,2.5,97.70509528438755
9732,3.0,56.47837753429404
10754,1.0,31.92464730374872
11372,16.5,67.57147546764833
11415,0.5,40.50981266156386
914,10.0,449.3206987576148
151,4.0,130.49086825988533
7215,1.5,110.33635321073356
6208,7.0,77.65229491940337
614,9.5,613.9803952743524
2291,7.0,339.6637245876887
2095,2.0,389.6302728378774
7928,1.0,52.48262361248721
10735,1.5,58.21883806354048
475,5.5,415.0045251071065
10497,1.5,103.91840154509453
10416,1.0,36.36132555468447
212,11.0,474.3941772927011
7286,1.0,54.97142368426526
8468,2.5,72.24794209331328
6045,1.5,40.30552265198902
9261,2.5,41.00980613485938
4436,1.5,46.338539617755
6028,12.0,41.09546693181317
